creationDate,startDate,endDate,value
2023-09-30 00:00:46 +0100,2023-09-29 23:49:49 +0100,2023-09-29 23:49:49 +0100,72
2023-09-30 00:00:46 +0100,2023-09-29 23:54:35 +0100,2023-09-29 23:54:35 +0100,69
2023-09-30 00:12:15 +0100,2023-09-29 23:59:35 +0100,2023-09-29 23:59:35 +0100,70
2023-09-30 00:12:15 +0100,2023-09-30 00:04:34 +0100,2023-09-30 00:04:34 +0100,70
2023-09-30 00:14:57 +0100,2023-09-30 00:09:45 +0100,2023-09-30 00:09:45 +0100,69
2023-09-30 00:19:45 +0100,2023-09-30 00:14:44 +0100,2023-09-30 00:14:44 +0100,67
2023-09-30 00:20:57 +0100,2023-09-30 00:20:57 +0100,2023-09-30 00:20:57 +0100,62
2023-09-30 00:25:09 +0100,2023-09-30 00:20:27 +0100,2023-09-30 00:20:27 +0100,63
2023-09-30 00:34:24 +0100,2023-09-30 00:24:39 +0100,2023-09-30 00:24:39 +0100,67
2023-09-30 00:34:49 +0100,2023-09-30 00:31:16 +0100,2023-09-30 00:31:16 +0100,64
2023-09-30 00:40:44 +0100,2023-09-30 00:34:42 +0100,2023-09-30 00:34:42 +0100,61
2023-09-30 00:48:40 +0100,2023-09-30 00:40:07 +0100,2023-09-30 00:40:07 +0100,63
2023-09-30 00:50:01 +0100,2023-09-30 00:45:17 +0100,2023-09-30 00:45:17 +0100,64
2023-09-30 00:51:05 +0100,2023-09-30 00:51:12 +0100,2023-09-30 00:51:12 +0100,75
2023-09-30 00:57:21 +0100,2023-09-30 00:51:21 +0100,2023-09-30 00:51:21 +0100,59
2023-09-30 01:06:32 +0100,2023-09-30 00:59:09 +0100,2023-09-30 00:59:09 +0100,63
2023-09-30 01:06:32 +0100,2023-09-30 00:59:22 +0100,2023-09-30 00:59:22 +0100,62.942
2023-09-30 01:06:32 +0100,2023-09-30 01:00:37 +0100,2023-09-30 01:00:37 +0100,60
2023-09-30 01:16:42 +0100,2023-09-30 01:06:54 +0100,2023-09-30 01:06:54 +0100,63
2023-09-30 01:16:42 +0100,2023-09-30 01:09:44 +0100,2023-09-30 01:09:44 +0100,60
2023-09-30 01:21:43 +0100,2023-09-30 01:21:43 +0100,2023-09-30 01:21:43 +0100,58
2023-09-30 01:21:44 +0100,2023-09-30 01:19:11 +0100,2023-09-30 01:19:11 +0100,59
2023-09-30 01:28:50 +0100,2023-09-30 01:20:18 +0100,2023-09-30 01:20:18 +0100,60
2023-09-30 01:32:45 +0100,2023-09-30 01:26:31 +0100,2023-09-30 01:26:31 +0100,58
2023-09-30 01:37:00 +0100,2023-09-30 01:31:48 +0100,2023-09-30 01:31:48 +0100,58
2023-09-30 01:45:33 +0100,2023-09-30 01:36:07 +0100,2023-09-30 01:36:07 +0100,59
2023-09-30 01:45:33 +0100,2023-09-30 01:39:35 +0100,2023-09-30 01:39:35 +0100,58
2023-09-30 01:50:01 +0100,2023-09-30 01:49:30 +0100,2023-09-30 01:49:30 +0100,58
2023-09-30 01:51:44 +0100,2023-09-30 01:51:44 +0100,2023-09-30 01:51:44 +0100,58
2023-09-30 01:58:53 +0100,2023-09-30 01:52:43 +0100,2023-09-30 01:52:43 +0100,58
2023-09-30 02:03:40 +0100,2023-09-30 01:54:55 +0100,2023-09-30 01:54:55 +0100,59
2023-09-30 02:05:49 +0100,2023-09-30 02:02:14 +0100,2023-09-30 02:02:14 +0100,58
2023-09-30 02:11:09 +0100,2023-09-30 02:06:09 +0100,2023-09-30 02:06:09 +0100,58
2023-09-30 02:19:20 +0100,2023-09-30 02:12:59 +0100,2023-09-30 02:12:59 +0100,54
2023-09-30 02:21:45 +0100,2023-09-30 02:17:41 +0100,2023-09-30 02:17:41 +0100,52
2023-09-30 02:21:45 +0100,2023-09-30 02:21:45 +0100,2023-09-30 02:21:45 +0100,61
2023-09-30 02:25:43 +0100,2023-09-30 02:23:51 +0100,2023-09-30 02:23:51 +0100,55
2023-09-30 02:35:55 +0100,2023-09-30 02:25:10 +0100,2023-09-30 02:25:10 +0100,55
